time_ms,theta_rad,omega_radps,i_a,i_b,i_c,i_q_ref,error_q,v_q
0,0,-0.0025,0,0,0,0,0,0
50,6.22053,-2.50425,-0.00010483,-0.00138599,0.00149081,0,0.00166425,0.249343
100,6.03309,-4.9938,-0.000411066,-0.0011836,0.00159466,0,0.0016559,0.498304
150,5.72148,-7.4709,-0.000879192,-0.000767142,0.00164633,0,0.00164762,0.746019
200,5.28633,-9.9356,-0.00137801,-7.99366e-05,0.00145794,0,0.00163932,0.992495
250,4.72825,-12.388,-0.00163094,0.000795797,0.000835091,0,0.00163112,1.23774
300,4.04786,-14.8281,-0.00127536,0.0015071,-0.000231775,0,0.00162311,1.48175
350,3.24577,-17.256,-0.000163584,0.00147342,-0.00130986,0,0.00161523,1.72455
400,2.32259,-19.6717,0.00117717,0.000358627,-0.00153578,0,0.00160692,1.96613
450,1.27892,-22.0753,0.00152941,-0.00116772,-0.000361704,0,0.00159867,2.2065
500,0.115376,-24.4654,0.000177033,-0.00145784,0.0012808,1,1.00159,8.59566
550,5.24124,-21.8339,0.86666,0.00176515,-0.868426,1,-0.00174606,2.68443
600,4.21482,-19.2225,0.878803,-0.85581,-0.0229934,1,-0.00173676,2.42331
650,3.31864,-16.6243,0.173803,-0.941271,0.767467,1,-0.00172842,2.1635
700,2.55205,-14.039,-0.558813,-0.440581,0.999394,1,-0.00171947,1.90498
750,1.9144,-11.4667,-0.943781,0.18115,0.762632,1,-0.00171101,1.64775
800,1.40504,-8.90719,-0.987736,0.638231,0.349505,1,-0.00170231,1.39181
850,1.02334,-6.36053,-0.85476,0.879689,-0.0249287,1,-0.00169396,1.13715
900,0.768651,-3.82661,-0.695886,0.971913,-0.276027,1,-0.0016855,0.883753
950,0.640341,-1.30538,-0.598289,0.994886,-0.396597,1,-0.00167704,0.631627
1000,0.637777,1.20048,-0.596544,0.995127,-0.398583,-0.8,-1.80167,-10.6892
1050,0.534408,-5.32362,0.409118,-0.804291,0.395173,-0.8,0.00433105,0.129551
1100,0.106284,-11.8024,0.0838604,-0.734688,0.650827,-0.8,0.00430954,0.77746
1150,5.63822,-18.2488,-0.485354,-0.312741,0.798094,-0.8,0.00428814,1.42214
1200,4.56545,-24.6629,-0.795146,0.502222,0.292924,-0.8,0.00426686,2.0636
1250,3.17278,-31.0449,-0.021146,0.70684,-0.685694,-0.8,0.00424546,2.70187
1300,1.46182,-37.3949,0.798943,-0.479309,-0.319634,-0.8,0.00422513,3.33695
1350,5.71733,-43.7132,-0.435858,-0.367399,0.803257,-0.8,0.00420302,3.96886
1400,3.37453,-49.9998,-0.179448,0.768635,-0.589187,-0.8,0.00418168,4.59763
1450,0.718188,-56.255,0.523769,-0.790381,0.266612,-0.8,0.00416261,5.22326
1500,4.03305,-62.4769,-0.620623,0.753216,-0.132594,1,1.80414,13.8563
1550,0.980228,-59.6487,-0.826882,0.903438,-0.0765561,1,-0.00187087,6.46544
1600,4.35098,-56.8482,0.933941,-0.781125,-0.152816,1,-0.00186241,6.18544
1650,1.57822,-54.0617,-1.0019,0.501994,0.499909,1,-0.0018549,5.90684
1700,5.22762,-51.2892,0.875832,-0.0165806,-0.859251,1,-0.00184393,5.62964
1750,2.73212,-48.5305,-0.405978,-0.590232,0.996211,1,-0.00183487,5.35381
1800,0.374205,-45.7856,-0.359389,0.989586,-0.630197,1,-0.00182641,5.07936
1850,4.43638,-43.0545,0.96203,-0.723189,-0.238841,1,-0.00181651,4.80629
1900,2.35159,-40.3369,-0.716186,-0.248589,0.964775,1,-0.00180757,4.53457
1950,0.402327,-37.6331,-0.386727,0.993717,-0.60699,1,-0.00179768,4.26422
2000,4.87111,-34.9426,0.990088,-0.3627,-0.627388,1,-0.00179124,3.9952
2050,3.19089,-32.2658,0.0442051,-0.88884,0.844635,1,-0.00178027,3.72755
2100,1.64418,-29.6022,-0.999426,0.440199,0.559227,1,-0.00177157,3.46121
2150,0.230314,-26.952,-0.224484,0.957742,-0.733258,1,-0.00176263,3.19621
2200,5.23181,-24.3151,0.871564,-0.00807822,-0.863486,1,-0.00175393,2.93254
2250,4.08164,-21.6913,0.806948,-0.917534,0.110587,1,-0.00174522,2.67018
2300,3.06233,-19.0807,-0.082366,-0.823414,0.90578,1,-0.00173616,2.40913
2350,2.17323,-16.4831,-0.826886,-0.0762478,0.903134,1,-0.0017283,2.14938
2400,1.41367,-13.8985,-0.989031,0.632172,0.356859,1,-0.00171924,1.89094
2450,0.783028,-11.3269,-0.705343,0.968659,-0.263316,1,-0.00171065,1.63378
2500,0.280641,-8.76814,-0.276082,0.971942,-0.69586,1,-0.00170195,1.37791
2550,6.18906,-6.22218,0.0951533,0.815993,-0.911146,1,-0.00169349,1.12331
2600,5.94127,-3.68895,0.336428,0.648879,-0.985308,1,-0.00168502,0.869987
2650,5.81983,-1.1684,0.447887,0.551985,-0.999872,1,-0.00167656,0.61793
2700,5.8241,1.33953,0.443696,0.555876,-0.999572,1,-0.00166821,0.36713
2750,5.95345,3.83492,0.323772,0.659011,-0.982782,1,-0.00165987,0.117584
2800,6.20726,6.31781,0.0749947,0.827524,-0.902519,1,-0.00165153,-0.130715
2850,0.301714,8.78828,-0.298966,0.977392,-0.678426,1,-0.00164318,-0.377774
2900,0.802571,11.2464,-0.721554,0.962422,-0.240868,1,-0.00163507,-0.6236
2950,1.42603,13.6922,-0.991462,0.619016,0.372446,1,-0.00162685,-0.868197
